merge_key,doc_id,len_xml,len_html,len_ocr,len_pdf,len_merged
한국재정정보원_e나라도움_업무시스템_웹_접근성_컨설팅,한국재정정보원_e나라도움 업무시스템 웹 접근성 컨설팅,70162,0,0,0,70162
한국전기안전공사_전기안전_관제시스템_보안_모듈_개발_용역,한국전기안전공사_전기안전 관제시스템 보안 모듈 개발 용역,0,50279,0,0,50279
한국지식재산보호원_ip_navi_해외지식재산센터_사업관리_시스템_기능개,한국지식재산보호원_IP-NAVI  해외지식재산센터 사업관리 시스템 기능개,0,53075,0,0,53075
한국철도공사_용역_모바일오피스_시스템_고도화_용역_총체_및_1차,한국철도공사 (용역)_모바일오피스 시스템 고도화 용역(총체 및 1차),128421,0,0,0,128421
한국철도공사_용역_예약발매시스템_개량_ismp_용역,한국철도공사 (용역)_예약발매시스템 개량 ISMP 용역,0,74947,0,0,74947
한국철도공사_용역_재공고_긴급_협상형_운행정보기록_자동분석시스,한국철도공사 (용역)_[재공고][긴급][협상형]운행정보기록 자동분석시스,105694,0,0,0,105694
한국한의학연구원_통합정보시스템_고도화_용역,한국한의학연구원_통합정보시스템 고도화 용역,0,61896,0,0,61896
한국해양조사협회_2024년_항해용_간행물_품질관리_업무보조_시스템_구축,한국해양조사협회_2024년 항해용 간행물 품질관리 업무보조 시스템 구축,0,60596,0,0,60596
한영대학_한영대학교_특성화_맞춤형_교육환경_구축_트랙운영_학사정보,한영대학_한영대학교 특성화 맞춤형 교육환경 구축 - 트랙운영 학사정보,0,43870,0,0,43870
한국철도공사_용역_예약발매시스템_개량_ismp_용역,한국철도공사 (용역)_예약발매시스템 개량 ISMP 용역,70672,0,0,0,70672
한국철도공사_용역_예약발매시스템_개량_ismp_용역_859d37,한국철도공사_용역_예약발매시스템_개량_ISMP_용역,0,105782,0,0,105782
한국한의학연구원_통합정보시스템_고도화_용역,한국한의학연구원_통합정보시스템 고도화 용역,57663,0,0,0,57663
한국한의학연구원_통합정보시스템_고도화_용역_629a83,한국한의학연구원_통합정보시스템_고도화_용역,0,83887,0,0,83887
한국해양조사협회_2024년_항해용_간행물_품질관리_업무보조_시스템_구축,한국해양조사협회_2024년 항해용 간행물 품질관리 업무보조 시스템 구축,57342,0,0,0,57342
한국해양조사협회_2024년_항해용_간행물_품질관리_업무보조_시스템_구축_a2ff76,한국해양조사협회_2024년_항해용_간행물_품질관리_업무보조_시스템_구축,0,86793,0,0,86793
한영대학_한영대학교_특성화_맞춤형_교육환경_구축_트랙운영_학사정보,한영대학_한영대학교 특성화 맞춤형 교육환경 구축_트랙운영 학사정보,41809,0,0,0,41809
한영대학_한영대학교_특성화_맞춤형_교육환경_구축_트랙운영_학사정보_c4b1f0,한영대학_한영대학교_특성화_맞춤형_교육환경_구축_트랙운영_학사정보,0,60778,0,0,60778
