join_key,side,doc_id,merge_key,sample_path
2025_구미_아시아육상경기선수권대회_조직위원회_2025_구미아시아육상경,xml,2025 구미 아시아육상경기선수권대회 조직위원회_2025 구미아시아육상경,2025_구미_아시아육상경기선수권대회_조직위원회_2025_구미아시아육상경,
2025_구미_아시아육상경기선수권대회_조직위원회_2025_구미아시아육상경,ocr,2025 구미 아시아육상경기선수권대회 조직위원회_2025 구미아시아육상경,2025_구미_아시아육상경기선수권대회_조직위원회_2025_구미아시아육상경,
bioin_의료기기산업_종합정보시스템_정보관리기관_기능개선_사업_2차,xml,BioIN_의료기기산업 종합정보시스템(정보관리기관) 기능개선 사업(2차),bioin_의료기기산업_종합정보시스템_정보관리기관_기능개선_사업_2차,
bioin_의료기기산업_종합정보시스템_정보관리기관_기능개선_사업_2차,ocr,BioIN_의료기기산업 종합정보시스템(정보관리기관) 기능개선 사업(2차),bioin_의료기기산업_종합정보시스템_정보관리기관_기능개선_사업_2차,
koica_전자조달_긴급_지문_국제_우즈베키스탄_열린_의정활동_상하원,xml,KOICA 전자조달_[긴급] [지문] [국제] 우즈베키스탄 열린 의정활동 상하원,koica_전자조달_긴급_지문_국제_우즈베키스탄_열린_의정활동_상하원,
koica_전자조달_긴급_지문_국제_우즈베키스탄_열린_의정활동_상하원,ocr,KOICA 전자조달_[긴급] [지문] [국제] 우즈베키스탄 열린 의정활동 상하원,koica_전자조달_긴급_지문_국제_우즈베키스탄_열린_의정활동_상하원,
경기도_안양시_호계체육관_배드민턴장_및_탁구장_예약시스템_구축_용역,xml,경기도 안양시_호계체육관 배드민턴장 및 탁구장 예약시스템 구축 용역,경기도_안양시_호계체육관_배드민턴장_및_탁구장_예약시스템_구축_용역,
경기도_안양시_호계체육관_배드민턴장_및_탁구장_예약시스템_구축_용역,ocr,경기도 안양시_호계체육관 배드민턴장 및 탁구장 예약시스템 구축 용역,경기도_안양시_호계체육관_배드민턴장_및_탁구장_예약시스템_구축_용역,
경기도_평택시_2024년도_평택시_버스정보시스템_bis_구축사업,xml,경기도 평택시_2024년도 평택시 버스정보시스템(BIS) 구축사업,경기도_평택시_2024년도_평택시_버스정보시스템_bis_구축사업,
경기도_평택시_2024년도_평택시_버스정보시스템_bis_구축사업,ocr,경기도 평택시_2024년도 평택시 버스정보시스템(BIS) 구축사업,경기도_평택시_2024년도_평택시_버스정보시스템_bis_구축사업,
경상북도_봉화군_봉화군_재난통합관리시스템_고도화_사업_협상_긴급,xml,경상북도 봉화군_봉화군 재난통합관리시스템 고도화 사업(협상)(긴급),경상북도_봉화군_봉화군_재난통합관리시스템_고도화_사업_협상_긴급,
경상북도_봉화군_봉화군_재난통합관리시스템_고도화_사업_협상_긴급,ocr,경상북도 봉화군_봉화군 재난통합관리시스템 고도화 사업(협상)(긴급),경상북도_봉화군_봉화군_재난통합관리시스템_고도화_사업_협상_긴급,
광주과학기술원_학사시스템_기능개선_사업,xml,광주과학기술원_학사시스템 기능개선 사업,광주과학기술원_학사시스템_기능개선_사업,
광주과학기술원_학사시스템_기능개선_사업,ocr,광주과학기술원_학사시스템 기능개선 사업,광주과학기술원_학사시스템_기능개선_사업,
국가과학기술지식정보서비스_통합정보시스템_고도화_용역,xml,국가과학기술지식정보서비스_통합정보시스템 고도화 용역,국가과학기술지식정보서비스_통합정보시스템_고도화_용역,
국가과학기술지식정보서비스_통합정보시스템_고도화_용역,ocr,국가과학기술지식정보서비스_통합정보시스템 고도화 용역,국가과학기술지식정보서비스_통합정보시스템_고도화_용역,
국가철도공단_철도인프라_디지털트윈_정보화전략계획_isp_수립_용역_변,xml,국가철도공단_철도인프라 디지털트윈 정보화전략계획(ISP) 수립 용역(변,국가철도공단_철도인프라_디지털트윈_정보화전략계획_isp_수립_용역_변,
국가철도공단_철도인프라_디지털트윈_정보화전략계획_isp_수립_용역_변,ocr,국가철도공단_철도인프라 디지털트윈 정보화전략계획(ISP) 수립 용역(변,국가철도공단_철도인프라_디지털트윈_정보화전략계획_isp_수립_용역_변,
국립중앙의료원_긴급_2024년도_차세대_응급의료_상황관리시스템_구축,xml,국립중앙의료원_(긴급)「2024년도 차세대 응급의료 상황관리시스템 구축,국립중앙의료원_긴급_2024년도_차세대_응급의료_상황관리시스템_구축,
국립중앙의료원_긴급_2024년도_차세대_응급의료_상황관리시스템_구축,ocr,,,
국민연금공단_사업장_사회보험료_지원_고시_개정에_따른_정보시스템_보,xml,국민연금공단_사업장 사회보험료 지원 고시 개정에 따른 정보시스템 보,국민연금공단_사업장_사회보험료_지원_고시_개정에_따른_정보시스템_보,
국민연금공단_사업장_사회보험료_지원_고시_개정에_따른_정보시스템_보,ocr,국민연금공단_사업장 사회보험료 지원 고시 개정에 따른 정보시스템 보,국민연금공단_사업장_사회보험료_지원_고시_개정에_따른_정보시스템_보,
그랜드코리아레저_주_2024년도_gkl_그룹웨어_시스템_구축_용역,xml,그랜드코리아레저(주)_2024년도 GKL 그룹웨어 시스템 구축 용역,그랜드코리아레저_주_2024년도_gkl_그룹웨어_시스템_구축_용역,
그랜드코리아레저_주_2024년도_gkl_그룹웨어_시스템_구축_용역,ocr,그랜드코리아레저(주)_2024년도 GKL 그룹웨어 시스템 구축 용역,그랜드코리아레저_주_2024년도_gkl_그룹웨어_시스템_구축_용역,
나노종합기술원_스마트_팹_서비스_활용체계_구축관련_설비온라인_시스,xml,나노종합기술원_스마트 팹 서비스 활용체계 구축관련 설비온라인 시스,나노종합기술원_스마트_팹_서비스_활용체계_구축관련_설비온라인_시스,
나노종합기술원_스마트_팹_서비스_활용체계_구축관련_설비온라인_시스,ocr,나노종합기술원_스마트 팹 서비스 활용체계 구축관련 설비온라인 시스,나노종합기술원_스마트_팹_서비스_활용체계_구축관련_설비온라인_시스,
남서울대학교_혁신_국고_남서울대학교_스마트_정보시스템_활성화_학사,xml,남서울대학교_[혁신-국고] 남서울대학교 스마트 정보시스템 활성화(학사,남서울대학교_혁신_국고_남서울대학교_스마트_정보시스템_활성화_학사,
남서울대학교_혁신_국고_남서울대학교_스마트_정보시스템_활성화_학사,ocr,남서울대학교_[혁신-국고] 남서울대학교 스마트 정보시스템 활성화(학사,남서울대학교_혁신_국고_남서울대학교_스마트_정보시스템_활성화_학사,
대검찰청_아태_사이버범죄_역량강화_허브_apc_hub_홈페이지_및_온라인_교,xml,대검찰청_아태 사이버범죄 역량강화 허브(APC-HUB) 홈페이지 및 온라인 교,대검찰청_아태_사이버범죄_역량강화_허브_apc_hub_홈페이지_및_온라인_교,
